date,hits,keyword,geo,gprop,category
2004-01-01,86,OSI model,world,web,0
2004-02-01,100,OSI model,world,web,0
2004-03-01,80,OSI model,world,web,0
2004-04-01,80,OSI model,world,web,0
2004-05-01,73,OSI model,world,web,0
2004-06-01,79,OSI model,world,web,0
2004-07-01,63,OSI model,world,web,0
2004-08-01,72,OSI model,world,web,0
2004-09-01,83,OSI model,world,web,0
2004-10-01,69,OSI model,world,web,0
2004-11-01,65,OSI model,world,web,0
2004-12-01,64,OSI model,world,web,0
2005-01-01,62,OSI model,world,web,0
2005-02-01,70,OSI model,world,web,0
2005-03-01,63,OSI model,world,web,0
2005-04-01,64,OSI model,world,web,0
2005-05-01,65,OSI model,world,web,0
2005-06-01,60,OSI model,world,web,0
2005-07-01,55,OSI model,world,web,0
2005-08-01,51,OSI model,world,web,0
2005-09-01,58,OSI model,world,web,0
2005-10-01,63,OSI model,world,web,0
2005-11-01,53,OSI model,world,web,0
2005-12-01,41,OSI model,world,web,0
2006-01-01,50,OSI model,world,web,0
2006-02-01,54,OSI model,world,web,0
2006-03-01,49,OSI model,world,web,0
2006-04-01,48,OSI model,world,web,0
2006-05-01,47,OSI model,world,web,0
2006-06-01,46,OSI model,world,web,0
2006-07-01,34,OSI model,world,web,0
2006-08-01,37,OSI model,world,web,0
2006-09-01,42,OSI model,world,web,0
2006-10-01,43,OSI model,world,web,0
2006-11-01,42,OSI model,world,web,0
2006-12-01,35,OSI model,world,web,0
2007-01-01,41,OSI model,world,web,0
2007-02-01,41,OSI model,world,web,0
2007-03-01,40,OSI model,world,web,0
2007-04-01,38,OSI model,world,web,0
2007-05-01,42,OSI model,world,web,0
2007-06-01,36,OSI model,world,web,0
2007-07-01,34,OSI model,world,web,0
2007-08-01,33,OSI model,world,web,0
2007-09-01,41,OSI model,world,web,0
2007-10-01,40,OSI model,world,web,0
2007-11-01,36,OSI model,world,web,0
2007-12-01,29,OSI model,world,web,0
2008-01-01,34,OSI model,world,web,0
2008-02-01,35,OSI model,world,web,0
2008-03-01,33,OSI model,world,web,0
2008-04-01,33,OSI model,world,web,0
2008-05-01,32,OSI model,world,web,0
2008-06-01,29,OSI model,world,web,0
2008-07-01,26,OSI model,world,web,0
2008-08-01,26,OSI model,world,web,0
2008-09-01,34,OSI model,world,web,0
2008-10-01,32,OSI model,world,web,0
2008-11-01,33,OSI model,world,web,0
2008-12-01,24,OSI model,world,web,0
2009-01-01,30,OSI model,world,web,0
2009-02-01,35,OSI model,world,web,0
2009-03-01,32,OSI model,world,web,0
2009-04-01,29,OSI model,world,web,0
2009-05-01,30,OSI model,world,web,0
2009-06-01,29,OSI model,world,web,0
2009-07-01,27,OSI model,world,web,0
2009-08-01,25,OSI model,world,web,0
2009-09-01,36,OSI model,world,web,0
2009-10-01,34,OSI model,world,web,0
2009-11-01,34,OSI model,world,web,0
2009-12-01,30,OSI model,world,web,0
2010-01-01,33,OSI model,world,web,0
2010-02-01,36,OSI model,world,web,0
2010-03-01,35,OSI model,world,web,0
2010-04-01,33,OSI model,world,web,0
2010-05-01,33,OSI model,world,web,0
2010-06-01,32,OSI model,world,web,0
2010-07-01,29,OSI model,world,web,0
2010-08-01,29,OSI model,world,web,0
2010-09-01,33,OSI model,world,web,0
2010-10-01,32,OSI model,world,web,0
2010-11-01,32,OSI model,world,web,0
2010-12-01,28,OSI model,world,web,0
2011-01-01,31,OSI model,world,web,0
2011-02-01,31,OSI model,world,web,0
2011-03-01,32,OSI model,world,web,0
2011-04-01,28,OSI model,world,web,0
2011-05-01,28,OSI model,world,web,0
2011-06-01,26,OSI model,world,web,0
2011-07-01,26,OSI model,world,web,0
2011-08-01,26,OSI model,world,web,0
2011-09-01,32,OSI model,world,web,0
2011-10-01,28,OSI model,world,web,0
2011-11-01,27,OSI model,world,web,0
2011-12-01,24,OSI model,world,web,0
2012-01-01,28,OSI model,world,web,0
2012-02-01,32,OSI model,world,web,0
2012-03-01,28,OSI model,world,web,0
2012-04-01,26,OSI model,world,web,0
2012-05-01,25,OSI model,world,web,0
2012-06-01,26,OSI model,world,web,0
2012-07-01,24,OSI model,world,web,0
2012-08-01,23,OSI model,world,web,0
2012-09-01,31,OSI model,world,web,0
2012-10-01,29,OSI model,world,web,0
2012-11-01,26,OSI model,world,web,0
2012-12-01,22,OSI model,world,web,0
2013-01-01,26,OSI model,world,web,0
2013-02-01,30,OSI model,world,web,0
2013-03-01,27,OSI model,world,web,0
2013-04-01,26,OSI model,world,web,0
2013-05-01,23,OSI model,world,web,0
2013-06-01,22,OSI model,world,web,0
2013-07-01,23,OSI model,world,web,0
2013-08-01,24,OSI model,world,web,0
2013-09-01,27,OSI model,world,web,0
2013-10-01,27,OSI model,world,web,0
2013-11-01,24,OSI model,world,web,0
2013-12-01,22,OSI model,world,web,0
2014-01-01,25,OSI model,world,web,0
2014-02-01,28,OSI model,world,web,0
2014-03-01,24,OSI model,world,web,0
2014-04-01,26,OSI model,world,web,0
2014-05-01,23,OSI model,world,web,0
2014-06-01,24,OSI model,world,web,0
2014-07-01,21,OSI model,world,web,0
2014-08-01,23,OSI model,world,web,0
2014-09-01,29,OSI model,world,web,0
2014-10-01,28,OSI model,world,web,0
2014-11-01,34,OSI model,world,web,0
2014-12-01,24,OSI model,world,web,0
2015-01-01,25,OSI model,world,web,0
2015-02-01,28,OSI model,world,web,0
2015-03-01,27,OSI model,world,web,0
2015-04-01,24,OSI model,world,web,0
2015-05-01,24,OSI model,world,web,0
2015-06-01,23,OSI model,world,web,0
2015-07-01,19,OSI model,world,web,0
2015-08-01,21,OSI model,world,web,0
2015-09-01,28,OSI model,world,web,0
2015-10-01,27,OSI model,world,web,0
2015-11-01,24,OSI model,world,web,0
2015-12-01,24,OSI model,world,web,0
